"GEOID","NAME","Population"
"17031222500","Census Tract 2225, Cook County, Illinois",1692
"17031222800","Census Tract 2228, Cook County, Illinois",1012
"17031807200","Census Tract 8072, Cook County, Illinois",5313
"17031807500","Census Tract 8075, Cook County, Illinois",3358
"17031750200","Census Tract 7502, Cook County, Illinois",2903
"17031804308","Census Tract 8043.08, Cook County, Illinois",7012
"17031804309","Census Tract 8043.09, Cook County, Illinois",3086
"17031804310","Census Tract 8043.10, Cook County, Illinois",8918
"17031030102","Census Tract 301.02, Cook County, Illinois",2841
"17031760802","Census Tract 7608.02, Cook County, Illinois",2553
"17031760803","Census Tract 7608.03, Cook County, Illinois",5788
"17031770201","Census Tract 7702.01, Cook County, Illinois",6075
"17031770202","Census Tract 7702.02, Cook County, Illinois",4749
"17031770601","Census Tract 7706.01, Cook County, Illinois",3234
"17031770602","Census Tract 7706.02, Cook County, Illinois",5198
"17031770901","Census Tract 7709.01, Cook County, Illinois",4948
"17031770902","Census Tract 7709.02, Cook County, Illinois",3309
"17031802003","Census Tract 8020.03, Cook County, Illinois",2581
"17031802004","Census Tract 8020.04, Cook County, Illinois",5029
"17031823702","Census Tract 8237.02, Cook County, Illinois",6148
"17031825000","Census Tract 8250, Cook County, Illinois",4792
"17031826201","Census Tract 8262.01, Cook County, Illinois",3270
"17031826301","Census Tract 8263.01, Cook County, Illinois",3864
"17031671500","Census Tract 6715, Cook County, Illinois",2281
"17031671600","Census Tract 6716, Cook County, Illinois",1643
"17031672000","Census Tract 6720, Cook County, Illinois",3533
"17031802403","Census Tract 8024.03, Cook County, Illinois",1340
"17031802404","Census Tract 8024.04, Cook County, Illinois",7463
"17031802505","Census Tract 8025.05, Cook County, Illinois",6579
"17031802506","Census Tract 8025.06, Cook County, Illinois",2476
"17031802607","Census Tract 8026.07, Cook County, Illinois",1253
"17031802608","Census Tract 8026.08, Cook County, Illinois",6383
"17031802609","Census Tract 8026.09, Cook County, Illinois",6299
"17031802610","Census Tract 8026.10, Cook County, Illinois",1655
"17031803012","Census Tract 8030.12, Cook County, Illinois",2050
"17031803013","Census Tract 8030.13, Cook County, Illinois",5423
"17031803014","Census Tract 8030.14, Cook County, Illinois",3560
"17031803015","Census Tract 8030.15, Cook County, Illinois",4402
"17031803016","Census Tract 8030.16, Cook County, Illinois",2616
"17031803017","Census Tract 8030.17, Cook County, Illinois",6051
"17031803611","Census Tract 8036.11, Cook County, Illinois",5784
"17031803612","Census Tract 8036.12, Cook County, Illinois",3517
"17031803701","Census Tract 8037.01, Cook County, Illinois",2766
"17031838200","Census Tract 8382, Cook County, Illinois",2058
"17031838300","Census Tract 8383, Cook County, Illinois",1710
"17031838600","Census Tract 8386, Cook County, Illinois",1728
"17031838000","Census Tract 8380, Cook County, Illinois",2589
"17031230700","Census Tract 2307, Cook County, Illinois",6252
"17031240200","Census Tract 2402, Cook County, Illinois",1633
"17031241400","Census Tract 2414, Cook County, Illinois",5480
"17031242400","Census Tract 2424, Cook County, Illinois",2729
"17031242500","Census Tract 2425, Cook County, Illinois",3477
"17031242600","Census Tract 2426, Cook County, Illinois",5293
"17031242700","Census Tract 2427, Cook County, Illinois",1682
"17031243100","Census Tract 2431, Cook County, Illinois",2274
"17031243300","Census Tract 2433, Cook County, Illinois",2457
"17031250300","Census Tract 2503, Cook County, Illinois",5122
"17031251500","Census Tract 2515, Cook County, Illinois",4342
"17031251900","Census Tract 2519, Cook County, Illinois",4653
"17031821101","Census Tract 8211.01, Cook County, Illinois",4735
"17031820202","Census Tract 8202.02, Cook County, Illinois",3137
"17031820300","Census Tract 8203, Cook County, Illinois",5617
"17031821102","Census Tract 8211.02, Cook County, Illinois",4394
"17031821300","Census Tract 8213, Cook County, Illinois",5470
"17031260500","Census Tract 2605, Cook County, Illinois",1538
"17031805107","Census Tract 8051.07, Cook County, Illinois",6246
"17031690300","Census Tract 6903, Cook County, Illinois",2443
"17031691500","Census Tract 6915, Cook County, Illinois",1968
"17031710100","Census Tract 7101, Cook County, Illinois",1250
"17031720100","Census Tract 7201, Cook County, Illinois",3381
"17031720200","Census Tract 7202, Cook County, Illinois",3791
"17031720400","Census Tract 7204, Cook County, Illinois",1935
"17031720700","Census Tract 7207, Cook County, Illinois",3078
"17031140400","Census Tract 1404, Cook County, Illinois",5978
"17031140800","Census Tract 1408, Cook County, Illinois",6373
"17031150200","Census Tract 1502, Cook County, Illinois",7753
"17031160700","Census Tract 1607, Cook County, Illinois",5811
"17031161000","Census Tract 1610, Cook County, Illinois",2171
"17031170300","Census Tract 1703, Cook County, Illinois",5338
"17031170500","Census Tract 1705, Cook County, Illinois",5519
"17031171000","Census Tract 1710, Cook County, Illinois",6877
"17031812600","Census Tract 8126, Cook County, Illinois",3291
"17031813000","Census Tract 8130, Cook County, Illinois",4051
